Counters: {"executed": "68", "failed": "0", "notExecuted": "0", "passed": "68", "total": "68"}
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_cache_ahead_latch_it_could_not_read
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_generation_that_does_not_advance
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_generation_whose_source_history_loss_is_terminal
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_non_advancing_generation_without_offering_a_retry
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_previous_generation_bound_under_another_provider_before_fencing_it
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_published_cache_ahead_latch_without_fencing_the_outgoing_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_replacement_while_a_generation_it_did_not_fence_is_still_bound
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_replacement_whose_generation_already_has_a_governed_topic
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_replacing_source_holding_pre_capture_rows_without_fencing_the_outgoing_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_replacing_source_that_is_already_tracking_without_fencing_the_outgoing_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_a_replacing_source_whose_identity_was_never_rotated
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_an_unconfigured_projection_target_without_fencing_the_outgoing_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_an_unreadable_projection_status_without_fencing_the_outgoing_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_retryably_when_the_outgoing_connector_could_not_be_fenced
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_refuses_when_the_generation_it_replaces_has_no_durable_record
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_resumes_a_replacement_whose_binding_and_tracking_activation_already_committed
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_reuses_no_governed_artifact_of_the_generation_it_replaces
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_stops_the_outgoing_connector_rather_than_deleting_its_configuration
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerReplaceSource.It_treats_an_outgoing_connector_the_worker_does_not_hold_as_already_fenced
