Source revision: e3bef5730c0296ced3e1aaf2a4f1905685847e4d
Exit code: 0
{'total': '104', 'executed': '104', 'passed': '104', 'failed': '0', 'error': '0', 'timeout': '0', 'aborted': '0', 'inconclusive': '0', 'passedButRunAborted': '0', 'notRunnable': '0', 'notExecuted': '0', 'disconnected': '0', 'warning': '0', 'completed': '0', 'inProgress': '0', 'pending': '0'}

Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_does_not_wait_for_barrier_evidence_a_connector_that_is_not_running_cannot_produce("STOPPED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_does_not_wait_for_barrier_evidence_when_no_task_is_running
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_fences_the_connector_so_the_worker_persists_a_stopped_target_state
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_fences_without_the_continuity_and_artifact_gates_a_restart_takes
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_issues_no_connector_request_against_a_mismatched_connector_configuration
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_issues_no_connector_request_against_a_nonconforming_binding_kafka_policy
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_issues_no_connector_request_against_a_nonconforming_provider_setup
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_issues_no_connector_request_against_a_nonconforming_shared_offset_store
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_issues_no_fence_when_no_binding_record_names_a_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_leaves_a_connector_the_worker_already_holds_stopped_alone
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_leaves_the_connector_stopped_when_continuity_is_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_never_deletes_the_committed_offsets_or_re_registers_the_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_refuses_a_restart_while_the_source_history_latch_is_not_durable
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_refuses_to_restart_a_binding_whose_source_history_is_lost
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_reports_a_fence_the_worker_did_not_apply
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_reports_a_restart_the_worker_did_not_apply
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_reports_a_resume_the_worker_did_not_apply
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_reports_no_unapplied_diagnostic_when_the_worker_accepted_the_restart
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_reports_the_connector_runtime_observed_after_the_restart
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_restarts_a_running_connector_rather_than_resuming_it
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_restarts_the_connector_when_continuity_is_affirmative
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_resumes_a_fenced_connector_rather_than_restarting_it("PAUSED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_resumes_a_fenced_connector_rather_than_restarting_it("STOPPED")
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerRestart | It_treats_a_connector_the_worker_does_not_hold_as_already_fenced
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_fences_a_latched_incident_when_the_provider_connection_cannot_be_opened
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_fences_again_on_a_later_poll_when_the_first_stop_was_refused
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_fences_nothing_when_the_provider_connection_fails_and_no_incident_is_latched
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_issues_no_fence_for_a_lost_source_history_whose_connector_is_already_stopped
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_a_proved_source_history_loss_and_stops_the_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_no_loss_for_an_enablement_interrupted_before_its_first_offset
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_no_loss_when_the_worker_did_not_answer_the_offsets_query
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_nothing_when_continuity_is_healthy
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_the_loss_once_and_no_later_poll_clears_it
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_latches_the_offset_loss_when_the_public_topic_proves_an_established_stream
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_a_latched_loss_whose_connector_fence_the_worker_refused
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_a_provider_mismatch_rather_than_failing_to_compose_the_provider_inputs
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_a_source_history_latch_that_did_not_become_durable
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_no_fence_failure_when_the_worker_stops_the_connector
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_the_binding_missing_without_observing_any_governed_artifact
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_the_target_not_ready_when_the_connector_lag_is_unknown
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_the_target_not_ready_when_the_shared_connect_offset_store_does_not_conform
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_the_target_ready_when_every_observation_is_satisfied
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_reports_the_target_status_without_provisioning_any_governed_artifact
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatus | It_verifies_the_kafka_policy_against_the_partition_count_the_binding_recorded
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_admits_a_retry_whose_governed_artifacts_its_own_earlier_run_created
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_asks_whether_the_governed_artifacts_exist_without_provisioning_any_of_them
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_continues_when_the_dms_has_not_yet_reported_the_target
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_continues_when_the_running_dms_answers_its_projection_status
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_fails_before_provisioning_when_the_projection_status_cannot_be_read(MalformedResponse)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_fails_before_provisioning_when_the_projection_status_cannot_be_read(Unauthorized)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_fails_before_provisioning_when_the_projection_status_cannot_be_read(Unavailable)
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_fails_before_provisioning_when_the_status_endpoint_is_not_mapped
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_preflights_before_reading_the_binding_or_the_instance_database
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_refuses_an_unbound_enablement_when_the_broker_cannot_prove_the_topics_are_absent
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_refuses_an_unbound_enablement_whose_connector_the_worker_already_holds
Passed | EdFi.DataManagementService.Backend.Cdc.Control.Tests.Unit.Given_CdcSetupControllerStatusEndpointPreflight | It_refuses_an_unbound_enablement_whose_public_topic_already_exists
