Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "151", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "151", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "151", "warning": "0"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("replace-source").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("restart").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("retire").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_accepts_the_default_tenant_and_ordinary_named_tenants("omitted")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_rejects_the_reserved_binding_token_with_translation_guidance("DEFAULT")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_rejects_the_reserved_binding_token_with_translation_guidance("Default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("status").It_rejects_the_reserved_binding_token_with_translation_guidance("default")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_accepts_the_default_tenant_and_ordinary_named_tenants("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface+Given_CdcTenantKey("stop").It_accepts_the_default_tenant_and_ordinary_named_tenants("district-a")
